readers,writers,lockType,reads,writes
2,2,StampedLockSpaceship,1177282361,37760204
2,2,StampedLockSpaceship,1217569568,29189369
2,2,StampedLockSpaceship,0,0
2,2,StampedLockWithRetriesSpaceship,1268486815,29325786
2,2,StampedLockWithRetriesSpaceship,1129806723,38062809
2,2,StampedLockWithRetriesSpaceship,1440698023,22253444
2,2,StampedLockWithRetriesSpaceship,1251299373,33260923
2,2,StampedLockWithRetriesSpaceship,1253931497,37202291
2,2,StampedLockWithRetriesSpaceship,0,0
2,2,LockFreeSpaceship,182465101,72143621
2,2,LockFreeSpaceship,182959495,71275961
2,2,LockFreeSpaceship,178068596,72197487
2,2,LockFreeSpaceship,183770833,72214833
2,2,LockFreeSpaceship,181212928,81148987
2,2,LockFreeSpaceship,0,0
