[java] readers,writers,lockType,reads,writes
[java] 1,1,SynchronizedSpaceship,52451517,54198010
[java] 1,1,SynchronizedSpaceship,108708847,113602381
[java] 1,1,SynchronizedSpaceship,49834484,53490713
[java] 1,1,SynchronizedSpaceship,48030858,57652901
[java] 1,1,SynchronizedSpaceship,43477896,47144680
[java] 1,1,SynchronizedSpaceship,0,0
[java] 1,1,ReadWriteLockSpaceShip,10901146,45037919
[java] 1,1,ReadWriteLockSpaceShip,11145303,38947152
[java] 1,1,ReadWriteLockSpaceShip,11296169,39634332
[java] 1,1,ReadWriteLockSpaceShip,12188510,37216929
[java] 1,1,ReadWriteLockSpaceShip,13760441,37564057
[java] 1,1,ReadWriteLockSpaceShip,0,0
[java] 1,1,ReentrantLockSpaceship,26090479,23985033
[java] 1,1,ReentrantLockSpaceship,20738667,21919650
[java] 1,1,ReentrantLockSpaceship,30270189,28078433
[java] 1,1,ReentrantLockSpaceship,23511460,25657792
[java] 1,1,ReentrantLockSpaceship,24078859,24271570
[java] 1,1,ReentrantLockSpaceship,0,0
[java] 1,1,StampedLockSpaceship,28388733,40625725
[java] 1,1,StampedLockSpaceship,26295688,36323802
[java] 1,1,StampedLockSpaceship,25030930,37148085
[java] 1,1,StampedLockSpaceship,23993716,35874137
[java] 1,1,StampedLockSpaceship,42252771,48266294
[java] 1,1,StampedLockSpaceship,0,0
[java] 1,1,StampedLockWithRetriesSpaceship,27950600,56402020
[java] 1,1,StampedLockWithRetriesSpaceship,36182861,61623292
[java] 1,1,StampedLockWithRetriesSpaceship,33485142,59895149
[java] 1,1,StampedLockWithRetriesSpaceship,25284596,51363505
[java] 1,1,StampedLockWithRetriesSpaceship,21754578,46276899
[java] 1,1,StampedLockWithRetriesSpaceship,0,0
[java] 1,1,LockFreeSpaceship,111513044,91282103
[java] 1,1,LockFreeSpaceship,109624278,90783930
[java] 1,1,LockFreeSpaceship,116599179,93442579
[java] 1,1,LockFreeSpaceship,113200289,92304951
[java] 1,1,LockFreeSpaceship,121069595,97050426
[java] 1,1,LockFreeSpaceship,0,0
[java] readers,writers,lockType,reads,writes
[java] 2,1,SynchronizedSpaceship,68803132,40015293
[java] 2,1,SynchronizedSpaceship,76471865,41767456
[java] 2,1,SynchronizedSpaceship,73409432,29390225
[java] 2,1,SynchronizedSpaceship,83564241,45036859
[java] 2,1,SynchronizedSpaceship,74645069,27454506
[java] 2,1,SynchronizedSpaceship,0,0
[java] 2,1,ReadWriteLockSpaceShip,29068269,83681835
[java] 2,1,ReadWriteLockSpaceShip,34571260,73411170
[java] 2,1,ReadWriteLockSpaceShip,29809387,87865646
[java] 2,1,ReadWriteLockSpaceShip,33516087,74399808
[java] 2,1,ReadWriteLockSpaceShip,33536577,96199739
[java] 2,1,ReadWriteLockSpaceShip,0,0
[java] 2,1,ReentrantLockSpaceship,97401213,50425560
[java] 2,1,ReentrantLockSpaceship,98696316,51716536
[java] 2,1,ReentrantLockSpaceship,105731019,49300117
[java] 2,1,ReentrantLockSpaceship,94331172,50349730
[java] 2,1,ReentrantLockSpaceship,91229632,50926476
[java] 2,1,ReentrantLockSpaceship,0,0
[java] 2,1,StampedLockSpaceship,169055802,24221997
[java] 2,1,StampedLockSpaceship,152848096,22932069
[java] 2,1,StampedLockSpaceship,144620287,20276911
[java] 2,1,StampedLockSpaceship,154465830,20984607
[java] 2,1,StampedLockSpaceship,145748401,21831201
[java] 2,1,StampedLockSpaceship,0,0
[java] 2,1,StampedLockWithRetriesSpaceship,97024113,43683030
[java] 2,1,StampedLockWithRetriesSpaceship,138942012,45432646
[java] 2,1,StampedLockWithRetriesSpaceship,131400251,48333832
[java] 2,1,StampedLockWithRetriesSpaceship,97174875,42029782
[java] 2,1,StampedLockWithRetriesSpaceship,97886699,44052377
[java] 2,1,StampedLockWithRetriesSpaceship,0,0
[java] 2,1,LockFreeSpaceship,272510948,86530969
[java] 2,1,LockFreeSpaceship,296372469,82809702
[java] 2,1,LockFreeSpaceship,320414057,82176836
[java] 2,1,LockFreeSpaceship,255888752,88365695
[java] 2,1,LockFreeSpaceship,256317128,89227277
[java] 2,1,LockFreeSpaceship,0,0
[java] readers,writers,lockType,reads,writes
[java] 3,1,SynchronizedSpaceship,98624838,31744523
[java] 3,1,SynchronizedSpaceship,84494994,29442993
[java] 3,1,SynchronizedSpaceship,69436384,21152059
